nodes,tasks_per_node,total_tasks,problem_size,run_id,time_s,jobid,out_file
1,1,1,256,1,0.004779,62544,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_256_62544.out
1,1,1,256,2,0.005535,62545,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_256_62545.out
1,1,1,256,3,0.005360,62547,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_256_62547.out
1,2,2,256,1,0.004321,62548,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_256_62548.out
1,2,2,256,2,0.004331,62549,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_256_62549.out
1,2,2,256,3,0.004279,62550,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_256_62550.out
1,4,4,256,1,0.002172,62551,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_256_62551.out
1,4,4,256,2,0.002257,62552,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_256_62552.out
1,4,4,256,3,0.002186,62553,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_256_62553.out
4,2,8,256,1,0.010280,62555,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_256_62555.out
4,2,8,256,2,0.010220,62556,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_256_62556.out
4,2,8,256,3,0.010008,62557,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_256_62557.out
4,4,16,256,1,0.009778,62558,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_256_62558.out
4,4,16,256,2,0.010289,62559,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_256_62559.out
4,4,16,256,3,0.010133,62560,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_256_62560.out
4,8,32,256,1,0.001062,62561,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_256_62561.out
4,8,32,256,2,0.001023,62562,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_256_62562.out
4,8,32,256,3,0.001750,62564,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_256_62564.out
1,1,1,1024,1,0.078162,62565,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_1024_62565.out
1,1,1,1024,2,0.079473,62566,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_1024_62566.out
1,1,1,1024,3,0.079827,62567,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_1024_62567.out
1,2,2,1024,1,0.069373,62568,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_1024_62568.out
1,2,2,1024,2,0.069354,62569,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_1024_62569.out
1,2,2,1024,3,0.069302,62570,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_1024_62570.out
1,4,4,1024,1,0.035132,62571,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_1024_62571.out
1,4,4,1024,2,0.034832,62572,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_1024_62572.out
